CD_MUN,NM_MUN,CD_RGI,NM_RGI,CD_RGINT,NM_RGINT,CD_UF,NM_UF,SIGLA_UF,CD_REGIA,NM_REGIA,SIGLA_RG,CD_CONCU,NM_CONCU,AREA_KM2,N_LINHAS
"4300604",Alvorada,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,71.701999999999998,8
"4310603",Itaqui,"430017",São Borja,"4304",Uruguaiana,"43",Rio Grande do Sul,RS,"4",Sul,S,,,3405.998999999999796,8
"4321956",Trindade do Sul,"430035",Nonoai,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,268.416999999999973,1
"4312385",Monte Belo do Sul,"430037",Bento Gonçalves,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,"4302105",Bento Gonçalves/RS,69.725999999999999,1
"4305405",Chiapetta,"430018",Ijuí,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,397.178999999999974,2
"4314134",Paulo Bento,"430026",Erechim,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,149.669000000000011,1
"4304101",Campos Borges,"430025",Passo Fundo,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,226.201999999999998,1
"4314100",Passo Fundo,"430025",Passo Fundo,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314100",Passo Fundo,784.405999999999949,6
"4305454",Cidreira,"430003",Tramandaí - Osório,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,243.419000000000011,1
"4323754",Vitória das Missões,"430020",Santo Ângelo,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,258.454000000000008,3
"4314175",Pedras Altas,"430010",Bagé,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1373.984999999999900,1
"4305447",Chuvisca,"430005",Camaquã,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,220.471000000000004,1
"4300638",Amaral Ferrador,"430005",Camaquã,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,506.108999999999980,3
"4314159",Paverama,"430041",Lajeado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,171.863000000000000,1
"4301909",Barra do Ribeiro,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,729.316000000000031,2
"4323770",Westfália,"430041",Lajeado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,66.875000000000000,1
"4315404",Redentora,"430021",Três Passos,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,303.704999999999984,1
"4316758",Santa Clara do Sul,"430041",Lajeado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,"4311403",Lajeado/RS,86.491000000000000,1
"4322400",Uruguaiana,"430015",Uruguaiana,"4304",Uruguaiana,"43",Rio Grande do Sul,RS,"4",Sul,S,"4322400",Internacional de Uruguaiana/Brasil,5702.097999999999956,6
"4316733",Santa Cecília do Sul,"430032",Tapejara - Sananduva,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,200.056000000000012,2
"4319802",São Vicente do Sul,"430011",Santa Maria,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1174.224999999999909,2
"4311981",Mariana Pimentel,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,338.449999999999989,8
"4313706",Palmeira das Missões,"430034",Palmeira das Missões,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1421.101000000000113,2
"4307807",Estrela,"430041",Lajeado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,"4311403",Lajeado/RS,185.032000000000011,2
"4317202",Santa Rosa,"430019",Santa Rosa,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,489.379999999999995,3
"4306502",Dom Feliciano,"430005",Camaquã,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1355.194999999999936,2
"4307831",Eugênio de Castro,"430020",Santo Ângelo,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,417.821000000000026,1
"4301107",Arroio dos Ratos,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,425.790999999999997,2
"4307815",Estrela Velha,"430042",Sobradinho,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,281.613000000000000,6
"4306551",Dom Pedro de Alcântara,"430008",Torres,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,78.215999999999994,1
"4302402",Bom Retiro do Sul,"430041",Lajeado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,"4311403",Lajeado/RS,102.540000000000006,1
"4312401",Montenegro,"430007",Montenegro,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,425.023000000000025,11
"4305504",Ciríaco,"430030",Marau,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,274.350000000000023,2
"4314209",Pedro Osório,"430009",Pelotas,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,,,603.756999999999948,1
"4304200",Candelária,"430040",Santa Cruz do Sul,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,944.735000000000014,4
"4317251",Santa Tereza,"430037",Bento Gonçalves,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,73.668999999999997,1
"4309654",Hulha Negra,"430010",Bagé,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,"4301602",Bagé/RS,822.607999999999947,3
"4311122",Jaquirana,"430039",Vacaria,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,908.879000000000019,1
"4312476",Morro Reuter,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,87.037000000000006,2
"4307864",Fagundes Varela,"430037",Bento Gonçalves,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,134.294999999999987,5
"4320354",Sentinela do Sul,"430005",Camaquã,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,282.129999999999995,2
"4302451",Boqueirão do Leão,"430041",Lajeado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,257.788999999999987,2
"4311155",Jóia,"430018",Ijuí,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1238.709000000000060,1
"4323408",Vila Maria,"430030",Marau,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,181.061000000000007,3
"4321667",Três Cachoeiras,"430008",Torres,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,251.483000000000004,1
"4307005",Erechim,"430026",Erechim,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,429.163999999999987,2
"4305108",Caxias do Sul,"430036",Caxias do Sul,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,"4305108",Caxias do Sul/RS,1652.319999999999936,20
"4316808",Santa Cruz do Sul,"430040",Santa Cruz do Sul,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,"4316808",Santa Cruz do Sul/RS,734.515999999999963,6
"4319901",Sapiranga,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,137.758999999999986,2
"4318614",São José do Sul,"430007",Montenegro,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,54.764000000000003,1
"4305124",Cerrito,"430009",Pelotas,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,,,451.699000000000012,1
"4305173",Cerro Grande do Sul,"430005",Camaquã,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,324.908000000000015,4
"4307054",Ernestina,"430025",Passo Fundo,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,238.557999999999993,1
"4310363",Imigrante,"430041",Lajeado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,71.718000000000004,2
"4305157",Cerro Grande,"430034",Palmeira das Missões,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,73.438000000000002,1
"4312906",Nova Bassano,"430038",Nova Prata - Guaporé,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,211.610999999999990,3
"4302907",Cacequi,"430011",Santa Maria,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,2373.507000000000062,2
"4319505",São Sebastião do Caí,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,113.096999999999994,1
"4315149",Presidente Lucena,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,49.628000000000000,3
"4318200",São Francisco de Paula,"430036",Caxias do Sul,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,3317.793999999999869,2
"4322152",Tunas,"430042",Sobradinho,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,217.301999999999992,2
"4311601",Liberato Salzano,"430029",Frederico Westphalen,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,245.627000000000010,3
"4301602",Bagé,"430010",Bagé,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,"4301602",Bagé/RS,4090.360000000000127,3
"4313409",Novo Hamburgo,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,222.548000000000002,7
"4320404",Serafina Corrêa,"430038",Nova Prata - Guaporé,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,163.310000000000002,3
"4316451",Salto do Jacuí,"430027",Cruz Alta,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,507.697999999999979,5
"4301651",Barão,"430037",Bento Gonçalves,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,122.566999999999993,1
"4301636",Balneário Pinhal,"430003",Tramandaí - Osório,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,102.387000000000000,1
"4307906",Farroupilha,"430036",Caxias do Sul,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,"4305108",Caxias do Sul/RS,361.341000000000008,15
"4308854",Gentil,"430030",Marau,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,184.715000000000003,1
"4311643",Linha Nova,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,63.502000000000002,3
"4306601",Dom Pedrito,"430010",Bagé,"4302",Pelotas,"43",Rio Grande do Sul,RS,"4",Sul,S,,,5194.051000000000386,1
"4313441",Novo Tiradentes,"430029",Frederico Westphalen,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,75.427999999999997,2
"4314779",Pontão,"430025",Passo Fundo,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,502.709000000000003,1
"4320453",Sério,"430041",Lajeado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,105.427999999999997,1
"4321709",Três Coroas,"430004",Taquara - Parobé - Igrejinha,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4321204",Taquara - Parobé - Igrejinha/RS,168.123999999999995,1
"4314753",Poço das Antas,"430041",Lajeado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,67.617999999999995,1
"4302105",Bento Gonçalves,"430037",Bento Gonçalves,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,"4302105",Bento Gonçalves/RS,272.286999999999978,7
"4307500",Espumoso,"430025",Passo Fundo,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,783.642000000000053,1
"4317806",Santo Augusto,"430018",Ijuí,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,467.774999999999977,2
"4306205",Cruzeiro do Sul,"430041",Lajeado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,"4311403",Lajeado/RS,155.481999999999999,2
"4307559",Estação,"430026",Erechim,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,99.757000000000005,1
"4309308",Guaíba,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,377.663999999999987,10
"4308003",Faxinal do Soturno,"430011",Santa Maria,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,169.514000000000010,2
"4312153",Mato Leitão,"430040",Santa Cruz do Sul,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,46.798999999999999,1
"4302154",Boa Vista das Missões,"430029",Frederico Westphalen,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,196.063999999999993,2
"4312138",Mato Castelhano,"430025",Passo Fundo,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,238.268000000000001,4
"4310405",Independência,"430023",Três de Maio,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,358.283999999999992,1
"4300406",Alegrete,"430015",Uruguaiana,"4304",Uruguaiana,"43",Rio Grande do Sul,RS,"4",Sul,S,,,7800.551999999999680,8
"4305207",Cerro Largo,"430024",Cerro Largo,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,176.741999999999990,1
"4312179",Mato Queimado,"430024",Cerro Largo,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,114.653000000000006,1
"4316501",Salvador do Sul,"430007",Montenegro,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,99.025999999999996,1
"4300455",Alegria,"430023",Três de Maio,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,172.794000000000011,1
"4310439",Ipê,"430036",Caxias do Sul,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,599.032000000000039,2
"4311700",Machadinho,"430033",Lagoa Vermelha,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,335.343999999999994,1
"4301701",Barão de Cotegipe,"430026",Erechim,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,260.504999999999995,1
"4322202",Tupanciretã,"430027",Cruz Alta,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,2253.233999999999924,1
"4314803",Portão,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,159.298000000000002,5
"4304804",Carlos Barbosa,"430037",Bento Gonçalves,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,"4302105",Bento Gonçalves/RS,230.061000000000007,2
"4311718",Maçambará,"430017",São Borja,"4304",Uruguaiana,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1682.675999999999931,3
"4318309",São Gabriel,"430012",São Gabriel - Caçapava do Sul,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,5053.460000000000036,2
"4308904",Getúlio Vargas,"430026",Erechim,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,287.466000000000008,2
"4313508",Osório,"430003",Tramandaí - Osório,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4321600",Tramandaí - Osório/RS,663.878000000000043,8
"4305871",Coronel Barros,"430018",Ijuí,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,163.716000000000008,1
"4303509",Camaquã,"430005",Camaquã,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1679.241999999999962,9
"4301750",Barão do Triunfo,"430001",Porto Alegre,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,436.100999999999999,4
"4307609",Estância Velha,"430002",Novo Hamburgo - São Leopoldo,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4314902",Porto Alegre/RS,51.779000000000003,1
"4317004",Santana da Boa Vista,"430012",São Gabriel - Caçapava do Sul,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,1418.805000000000064,1
"4306304",David Canabarro,"430030",Marau,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,174.171999999999997,1
"4302220",Boa Vista do Cadeado,"430027",Cruz Alta,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,701.221000000000004,1
"4306353",Dezesseis de Novembro,"430022",São Luiz Gonzaga,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,216.341000000000008,2
"4310900",Jacutinga,"430026",Erechim,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,178.008999999999986,3
"4302238",Boa Vista do Incra,"430027",Cruz Alta,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,504.113999999999976,1
"4314001",Paraí,"430038",Nova Prata - Guaporé,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,121.745000000000005,1
"4322707",Vera Cruz,"430040",Santa Cruz do Sul,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,"4316808",Santa Cruz do Sul/RS,309.994000000000028,4
"4309407",Guaporé,"430038",Nova Prata - Guaporé,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,297.545000000000016,1
"4308102",Feliz,"430036",Caxias do Sul,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,94.659000000000006,4
"4306379",Dilermando de Aguiar,"430011",Santa Maria,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,600.518000000000029,2
"4302253",Boa Vista do Sul,"430037",Bento Gonçalves,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,93.108000000000004,2
"4321451",Teutônia,"430041",Lajeado,"4308",Santa Cruz do Sul - Lajeado,"43",Rio Grande do Sul,RS,"4",Sul,S,,,175.873999999999995,1
"4323200",Victor Graeff,"430025",Passo Fundo,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,238.133000000000010,1
"4315305",Quaraí,"430016",Santana do Livramento,"4304",Uruguaiana,"43",Rio Grande do Sul,RS,"4",Sul,S,,,3139.994999999999891,2
"4321436",Terra de Areia,"430003",Tramandaí - Osório,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,,,142.304000000000002,1
"4305900",Coronel Bicaco,"430018",Ijuí,"4305",Ijuí,"43",Rio Grande do Sul,RS,"4",Sul,S,,,492.302999999999997,2
"4305934",Coronel Pilar,"430037",Bento Gonçalves,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,105.668000000000006,1
"4315313",Quatro Irmãos,"430026",Erechim,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,268.971000000000004,4
"4310108",Igrejinha,"430004",Taquara - Parobé - Igrejinha,"4301",Porto Alegre,"43",Rio Grande do Sul,RS,"4",Sul,S,"4321204",Taquara - Parobé - Igrejinha/RS,138.116000000000014,1
"4315321",Quevedos,"430011",Santa Maria,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,543.359000000000037,1
"4300109",Agudo,"430011",Santa Maria,"4303",Santa Maria,"43",Rio Grande do Sul,RS,"4",Sul,S,,,534.624000000000024,4
"4305975",Coxilha,"430025",Passo Fundo,"4306",Passo Fundo,"43",Rio Grande do Sul,RS,"4",Sul,S,,,422.100999999999999,4
"4305959",Cotiporã,"430037",Bento Gonçalves,"4307",Caxias do Sul,"43",Rio Grande do Sul,RS,"4",Sul,S,,,173.206999999999994,2
