Municipio,Estado,Num_Linhas,Voltagens
Três de Maio,RS,1,230
Tubarão,SC,1,230
Tunas,RS,1,230
Tupanciretã,RS,1,230
Tupãssi,PR,2,"600, 765"
Turvo,PR,1,525
Turvo,SC,1,230
Ubiratã,PR,2,"600, 765"
União da Serra,RS,1,525
União da Vitória,PR,1,230
União do Oeste,SC,1,230
Urupema,SC,1,525
Urussanga,SC,2,"230, 525"
Vale Real,RS,1,230
Vargem,SC,1,230
Ventania,PR,2,"230, 600"
Venâncio Aires,RS,1,230
Vera Cruz do Oeste,PR,2,"600, 765"
Veranópolis,RS,2,"230, 525"
Vespasiano Corrêa,RS,1,525
Victor Graeff,RS,1,230
Vidal Ramos,SC,1,525
Videira,SC,1,230
Vila Flores,RS,2,"230, 525"
Vila Lângaro,RS,1,525
Vila Maria,RS,2,"230, 525"
Vista Alegre do Prata,RS,2,"230, 525"
Vitória das Missões,RS,1,230
Westfália,RS,1,525
Xanxerê,SC,2,"230, 525"
Xavantina,SC,2,"230, 525"
Xaxim,SC,1,230
Zortéa,SC,1,525
Água Doce,SC,1,525
Água Santa,RS,2,"230, 525"
Águas Frias,SC,1,230
Águas Mornas,SC,2,"230, 525"
Águas de Chapecó,SC,1,230
